Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Bipolaris gigantea strain 17UKY004 17UKY004_Mas330_Scaffold00349,3560,3560,100%,0.0,90.46,23266,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JANFPB010000349.1?report=genbank&log$=nucltop&blast_rank=36&RID=SVDKVK3N014"",""JANFPB010000349.1"")"
Bipolaris gigantea strain 17UKY004 17UKY004_Mas330_Scaffold00575,3552,3552,100%,0.0,90.41,19027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JANFPB010000575.1?report=genbank&log$=nucltop&blast_rank=37&RID=SVDKVK3N014"",""JANFPB010000575.1"")"
Bipolaris gigantea strain 17CL014 17CL014_Mas333_Reference_Scaffold00360,3551,3551,100%,0.0,90.38,31975,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JANFPF010000360.1?report=genbank&log$=nucltop&blast_rank=38&RID=SVDKVK3N014"",""JANFPF010000360.1"")"
Laburnicola sp. JP_R_19 000068F_pilon_pilon,3549,3828,100%,0.0,90.38,1364882,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/VOIT01000072"",""VOIT01000072.1"")"
Laburnicola rhizohalophila strain JP-R-19 chromosome 7,3549,3836,100%,0.0,90.38,5041560,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAUPCS010000007.1?report=genbank&log$=nucltop&blast_rank=40&RID=SVDKVK3N014"",""JAUPCS010000007.1"")"
Laburnicola rhizohalophila strain JP-R2018DY-8A chromosome 7,3549,3982,100%,0.0,90.38,5075704,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAUOZT010000007.1?report=genbank&log$=nucltop&blast_rank=41&RID=SVDKVK3N014"",""JAUOZT010000007.1"")"
Bipolaris gigantea strain 17MA018 17MA004_Mas333_Reference_Scaffold00630,3547,3547,100%,0.0,90.37,18892,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JANFPC010000630.1?report=genbank&log$=nucltop&blast_rank=42&RID=SVDKVK3N014"",""JANFPC010000630.1"")"
Laburnicola rhizohalophila strain JP-R2018DY-11A chromosome 4,3544,3831,100%,0.0,90.34,5165667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAULRH010000004.1?report=genbank&log$=nucltop&blast_rank=43&RID=SVDKVK3N014"",""JAULRH010000004.1"")"
Pyrenophora tritici-repentis isolate V0001 V1_contig_00012,3543,4595,100%,0.0,90.28,1424541,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/SAXQ01000012"",""SAXQ01000012.1"")"
Pyrenophora tritici-repentis strain Alg215 Alg215_scaffold_00479,3543,3543,100%,0.0,90.28,17948,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/RXHK01000479"",""RXHK01000479.1"")"
Pyrenophora tritici-repentis strain CC142 CC142_scaffold_00573,3543,3543,100%,0.0,90.28,16731,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PSOU01000573"",""PSOU01000573.1"")"
Pyrenophora tritici-repentis strain EW306-2-1 EW13061_scaffold_00530,3543,3543,100%,0.0,90.28,17624,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PSOT01000530"",""PSOT01000530.1"")"
Pyrenophora tritici-repentis strain EW4-4 EW4_scaffold_00526,3543,3543,100%,0.0,90.28,18390,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PSOS01000526"",""PSOS01000526.1"")"
Pyrenophora tritici-repentis strain EW7m1 EW7m1_scaffold_00614,3543,3543,100%,0.0,90.28,13762,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PSOR01000614"",""PSOR01000614.1"")"
Pyrenophora tritici-repentis strain SN001A SN001A_scaffold_00554,3543,3543,100%,0.0,90.28,16644,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PSOQ01000554"",""PSOQ01000554.1"")"
Pyrenophora tritici-repentis strain SN001C SN001C_scaffold_00591,3543,3543,100%,0.0,90.28,16622,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PSOP01000591"",""PSOP01000591.1"")"
Pyrenophora tritici-repentis strain SN002B SN002B_scaffold_00569,3543,3543,100%,0.0,90.28,16989,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PSOO01000569"",""PSOO01000569.1"")"
Pyrenophora tritici-repentis strain 86-124 chromosome 6 PTR86124_contig_00017,3543,4595,100%,0.0,90.28,874950,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/NRDI02000017"",""NRDI02000017.1"")"
Pyrenophora tritici-repentis strain ARCrossB10 ARCrossB10_scaffold_00479,3543,3543,100%,0.0,90.28,18697,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/NQWZ01000479"",""NQWZ01000479.1"")"
Pyrenophora tritici-repentis strain 5213 5213_00460,3543,3543,100%,0.0,90.28,18805,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/MVBI01000460"",""MVBI01000460.1"")"
Pyrenophora tritici-repentis strain DW5 chromosome 6,3543,3543,100%,0.0,90.28,2737331,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/MUXC02000006"",""MUXC02000006.1"")"
Pyrenophora tritici-repentis strain ASC1 contig00479,3543,3543,100%,0.0,90.28,17969,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYY010000479.1?report=genbank&log$=nucltop&blast_rank=57&RID=SVDKVK3N014"",""JAMBYY010000479.1"")"
Pyrenophora tritici-repentis strain I-33-1 contig00452,3543,3543,100%,0.0,90.28,18435,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYX010000452.1?report=genbank&log$=nucltop&blast_rank=58&RID=SVDKVK3N014"",""JAMBYX010000452.1"")"
Pyrenophora tritici-repentis strain L3-1 contig00428,3543,3543,100%,0.0,90.28,17968,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYW010000428.1?report=genbank&log$=nucltop&blast_rank=59&RID=SVDKVK3N014"",""JAMBYW010000428.1"")"
Pyrenophora tritici-repentis strain L4-1 contig00448,3543,3543,100%,0.0,90.28,17969,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYV010000448.1?report=genbank&log$=nucltop&blast_rank=60&RID=SVDKVK3N014"",""JAMBYV010000448.1"")"
Pyrenophora tritici-repentis strain SW20-7 contig00448,3543,3543,100%,0.0,90.28,17968,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYU010000448.1?report=genbank&log$=nucltop&blast_rank=61&RID=SVDKVK3N014"",""JAMBYU010000448.1"")"
Pyrenophora tritici-repentis strain SW2-1 contig00422,3543,3543,100%,0.0,90.28,18363,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYT010000422.1?report=genbank&log$=nucltop&blast_rank=62&RID=SVDKVK3N014"",""JAMBYT010000422.1"")"
Pyrenophora tritici-repentis strain SW21-1 contig00449,3543,3543,100%,0.0,90.28,17969,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYS010000449.1?report=genbank&log$=nucltop&blast_rank=63&RID=SVDKVK3N014"",""JAMBYS010000449.1"")"
Pyrenophora tritici-repentis strain SW21-7 contig00433,3543,3543,100%,0.0,90.28,18369,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYR010000433.1?report=genbank&log$=nucltop&blast_rank=64&RID=SVDKVK3N014"",""JAMBYR010000433.1"")"
Pyrenophora tritici-repentis strain SW21-8 contig00425,3543,3543,100%,0.0,90.28,18452,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYQ010000425.1?report=genbank&log$=nucltop&blast_rank=65&RID=SVDKVK3N014"",""JAMBYQ010000425.1"")"
Pyrenophora tritici-repentis strain SW7-5 contig00430,3543,3543,100%,0.0,90.28,18424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYP010000430.1?report=genbank&log$=nucltop&blast_rank=66&RID=SVDKVK3N014"",""JAMBYP010000430.1"")"
Pyrenophora tritici-repentis strain 86-124 contig00510,3543,3543,100%,0.0,90.28,17864,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYO010000510.1?report=genbank&log$=nucltop&blast_rank=67&RID=SVDKVK3N014"",""JAMBYO010000510.1"")"
Pyrenophora tritici-repentis strain AB88-2 contig00427,3543,3543,100%,0.0,90.28,18360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYN010000427.1?report=genbank&log$=nucltop&blast_rank=68&RID=SVDKVK3N014"",""JAMBYN010000427.1"")"
Pyrenophora tritici-repentis strain L2-1 contig00450,3543,3543,100%,0.0,90.28,17969,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYM010000450.1?report=genbank&log$=nucltop&blast_rank=69&RID=SVDKVK3N014"",""JAMBYM010000450.1"")"
Pyrenophora tritici-repentis strain SW1-2 contig00459,3543,3543,100%,0.0,90.28,17966,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYL010000459.1?report=genbank&log$=nucltop&blast_rank=70&RID=SVDKVK3N014"",""JAMBYL010000459.1"")"
Pyrenophora tritici-repentis strain SW15-1 contig00440,3543,3543,100%,0.0,90.28,17969,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYK010000440.1?report=genbank&log$=nucltop&blast_rank=71&RID=SVDKVK3N014"",""JAMBYK010000440.1"")"
Pyrenophora tritici-repentis strain Alg3-24 contig00435,3543,3543,100%,0.0,90.28,18882,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBXZ010000435.1?report=genbank&log$=nucltop&blast_rank=72&RID=SVDKVK3N014"",""JAMBXZ010000435.1"")"
Pyrenophora tritici-repentis strain Alg4x-1 contig00430,3543,3543,100%,0.0,90.28,19047,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBXY010000430.1?report=genbank&log$=nucltop&blast_rank=73&RID=SVDKVK3N014"",""JAMBXY010000430.1"")"
Pyrenophora tritici-repentis isolate AR CrossB10 chromosome 6 AR_Contig10,3543,3543,100%,0.0,90.28,1067772,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JADZLV010000010.1?report=genbank&log$=nucltop&blast_rank=74&RID=SVDKVK3N014"",""JADZLV010000010.1"")"
Pyrenophora tritici-repentis Pt-1C-BFP cont1.237,3543,3543,100%,0.0,90.28,21300,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/AAXI01000237"",""AAXI01000237.1"")"
Pyrenophora tritici-repentis strain M4 chromosome 6,3538,4590,100%,0.0,90.24,3057012,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/NQIK02000006"",""NQIK02000006.1"")"
Pyrenophora tritici-repentis strain 239 239_00455,3538,3538,100%,0.0,90.24,18793,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/MVBH01000455"",""MVBH01000455.1"")"
Pyrenophora tritici-repentis strain 11137 11137_00421,3538,3538,100%,0.0,90.24,18849,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/MVBG01000411"",""MVBG01000411.1"")"
Pyrenophora tritici-repentis strain 134 chromosome 6 ptr134_contig_00005,3538,4590,100%,0.0,90.24,2687279,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/MVBF02000005"",""MVBF02000005.1"")"
Bipolaris oryzae isolate F1409 scaffold_4,3538,3538,100%,0.0,90.30,2977022,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBNFYG010000004.1?report=genbank&log$=nucltop&blast_rank=80&RID=SVDKVK3N014"",""JBNFYG010000004.1"")"
Alternaria chlamydospora strain SC11 contig4,3538,3538,100%,0.0,90.30,3269079,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBJYIS010000004.1?report=genbank&log$=nucltop&blast_rank=81&RID=SVDKVK3N014"",""JBJYIS010000004.1"")"
Pyrenophora tritici-repentis strain AZ35-5 contig00470,3538,3538,100%,0.0,90.24,17250,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBXS010000470.1?report=genbank&log$=nucltop&blast_rank=82&RID=SVDKVK3N014"",""JAMBXS010000470.1"")"
Pyrenophora tritici-repentis isolate Biotrigo9-1 chromosome 6,3538,4590,100%,0.0,90.24,2884932,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAHCYZ010000007.1?report=genbank&log$=nucltop&blast_rank=83&RID=SVDKVK3N014"",""JAHCYZ010000007.1"")"
Bipolaris sorokiniana strain BRIP10943a chromosome 9,3535,3535,100%,0.0,90.17,2084447,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/SRZH01000009"",""SRZH01000009.1"")"
Bipolaris sorokiniana isolate BS112 scf7180000000241.668248,3535,3535,100%,0.0,90.17,668248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/RCTM01000014"",""RCTM01000014.1"")"
Bipolaris sorokiniana isolate BS112 scf7180000000228.1880955,3535,3535,100%,0.0,90.17,1880955,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/RCTM01000005"",""RCTM01000005.1"")"
Bipolaris sorokiniana isolate Yt-6 Contig00001,3535,3535,100%,0.0,90.17,3926704,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBBEUP010000001.1?report=genbank&log$=nucltop&blast_rank=87&RID=SVDKVK3N014"",""JBBEUP010000001.1"")"
Bipolaris sorokiniana strain ND93-1 chromosome 6,3535,3535,100%,0.0,90.17,2215954,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JASPLA010000006.1?report=genbank&log$=nucltop&blast_rank=88&RID=SVDKVK3N014"",""JASPLA010000006.1"")"
Bipolaris sp. L1-2 Contig00005,3535,3535,100%,0.0,90.17,2295453,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JANTPY010000005.1?report=genbank&log$=nucltop&blast_rank=89&RID=SVDKVK3N014"",""JANTPY010000005.1"")"
Bipolaris sorokiniana ND90Pr COCSAscaffold_5_Cont133,3535,3535,100%,0.0,90.17,22521,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/AEIN01000133"",""AEIN01000133.1"")"
Pyrenophora tritici-repentis strain I-35-18 contig00462,3534,3534,100%,0.0,90.20,18783,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBXO010000462.1?report=genbank&log$=nucltop&blast_rank=91&RID=SVDKVK3N014"",""JAMBXO010000462.1"")"
Bipolaris sorokiniana strain ND93-1 chromosome 9,3529,3529,100%,0.0,90.23,2027545,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JASPLA010000009.1?report=genbank&log$=nucltop&blast_rank=92&RID=SVDKVK3N014"",""JASPLA010000009.1"")"
Alternaria chlamydospora strain SC11 contig3,3525,6663,100%,0.0,90.18,3654769,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBJYIS010000003.1?report=genbank&log$=nucltop&blast_rank=93&RID=SVDKVK3N014"",""JBJYIS010000003.1"")"
Bipolaris sorokiniana strain WAI2411 chromosome 9,3480,3480,100%,0.0,89.82,2111142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/SRZE01000007"",""SRZE01000007.1"")"
Bipolaris sorokiniana strain WAI2406 chromosome 9,3468,3468,100%,0.0,89.72,2203058,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/SRZF01000009"",""SRZF01000009.1"")"
Bipolaris sorokiniana isolate Yt-6 Contig00005,3437,3437,100%,0.0,89.37,2390032,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBBEUP010000005.1?report=genbank&log$=nucltop&blast_rank=96&RID=SVDKVK3N014"",""JBBEUP010000005.1"")"
Bipolaris maydis strain PR9b J3E71scaffold_11_Cont12,3421,3421,100%,0.0,89.30,1849470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAQZZQ010000012.1?report=genbank&log$=nucltop&blast_rank=97&RID=SVDKVK3N014"",""JAQZZQ010000012.1"")"
Bipolaris sorokiniana isolate Yt-6 Contig00006,3285,4766,100%,0.0,88.10,2340117,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBBEUP010000006.1?report=genbank&log$=nucltop&blast_rank=98&RID=SVDKVK3N014"",""JBBEUP010000006.1"")"
Pyrenophora tritici-repentis isolate Biotrigo9-1 KJE20_contig_00027,3245,3245,86%,0.0,92.01,49490,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAHCYZ010000027.1?report=genbank&log$=nucltop&blast_rank=99&RID=SVDKVK3N014"",""JAHCYZ010000027.1"")"
Bipolaris zeicola strain GZL10 utg2_pilon,3245,3245,86%,0.0,92.01,2431170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAEUBC010000003.1?report=genbank&log$=nucltop&blast_rank=100&RID=SVDKVK3N014"",""JAEUBC010000003.1"")"



		


