Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Parastagonospora nodorum strain BRSn9870 ctg00743,264,264,44%,2e-72,44.64,9558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWG01000741"",""QVWG01000741.1"")"
Parastagonospora avenae f. sp. tritici 18332-5 NODE_76_length_141084_cov_41.624166,49.3,49.3,9%,7e-04,36.23,141084,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAFJTR010000076.1?report=genbank&log$=nucltop&blast_rank=16&RID=YYXFH9VA016"",""JAFJTR010000076.1"")"
Parastagonospora avenae f. sp. tritici strain Jansen 4_55 ctg01894,48.1,48.1,9%,0.001,36.23,4728,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWU01001894"",""QVWU01001894.1"")"
Parastagonospora avenae f. sp. tritici strain Hartney99 ctg00548,48.1,48.1,9%,0.001,36.23,22011,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWT01000548"",""QVWT01000548.1"")"
Parastagonospora nodorum strain WAC13404 scaffold0066,317,317,84%,2e-90,33.38,129765,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRGV010000068.1?report=genbank&log$=nucltop&blast_rank=19&RID=YYXFH9VA016"",""JAIRGV010000068.1"")"
Parastagonospora nodorum strain WAC13631 scaffold056,317,317,84%,2e-90,33.38,132810,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRGL010000057.1?report=genbank&log$=nucltop&blast_rank=20&RID=YYXFH9VA016"",""JAIRGL010000057.1"")"
Parastagonospora nodorum strain WAC13076 scaffold053,317,317,84%,2e-90,33.38,132995,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIREP010000053.1?report=genbank&log$=nucltop&blast_rank=21&RID=YYXFH9VA016"",""JAIREP010000053.1"")"
Parastagonospora nodorum strain WAC13630 scaffold0059,317,317,84%,2e-90,33.38,132995,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIREF010000059.1?report=genbank&log$=nucltop&blast_rank=22&RID=YYXFH9VA016"",""JAIREF010000059.1"")"
Parastagonospora nodorum strain WAC13070 scaffold051,317,317,84%,2e-90,33.38,136238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRHD010000051.1?report=genbank&log$=nucltop&blast_rank=23&RID=YYXFH9VA016"",""JAIRHD010000051.1"")"
Parastagonospora nodorum strain WAC13074 scaffold0057,317,317,84%,2e-90,33.38,136237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRHA010000059.1?report=genbank&log$=nucltop&blast_rank=24&RID=YYXFH9VA016"",""JAIRHA010000059.1"")"
Parastagonospora nodorum strain WAC13075 scaffold0055,317,317,84%,2e-90,33.38,136238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRGZ010000056.1?report=genbank&log$=nucltop&blast_rank=25&RID=YYXFH9VA016"",""JAIRGZ010000056.1"")"
Parastagonospora nodorum strain WAC13525 scaffold058,317,317,84%,2e-90,33.38,136238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRGR010000058.1?report=genbank&log$=nucltop&blast_rank=26&RID=YYXFH9VA016"",""JAIRGR010000058.1"")"
Parastagonospora nodorum strain WAC13632 scaffold053,317,317,84%,2e-90,33.38,136287,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRGK010000055.1?report=genbank&log$=nucltop&blast_rank=27&RID=YYXFH9VA016"",""JAIRGK010000055.1"")"
Parastagonospora nodorum strain WAC13403 scaffold0058,317,317,84%,2e-90,33.38,136945,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRGW010000062.1?report=genbank&log$=nucltop&blast_rank=28&RID=YYXFH9VA016"",""JAIRGW010000062.1"")"
Parastagonospora nodorum strain WAC13446 scaffold058,317,317,84%,2e-90,33.38,137755,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIREM010000058.1?report=genbank&log$=nucltop&blast_rank=29&RID=YYXFH9VA016"",""JAIREM010000058.1"")"
Parastagonospora nodorum strain WAC13068 scaffold0057,317,317,84%,2e-90,33.38,142015,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRHF010000059.1?report=genbank&log$=nucltop&blast_rank=30&RID=YYXFH9VA016"",""JAIRHF010000059.1"")"
Parastagonospora nodorum strain WAC13527 scaffold0065,317,317,84%,2e-90,33.38,145242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRGP010000066.1?report=genbank&log$=nucltop&blast_rank=31&RID=YYXFH9VA016"",""JAIRGP010000066.1"")"
Parastagonospora nodorum strain WAC13530 scaffold0053,317,317,84%,2e-90,33.38,148915,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIREJ010000053.1?report=genbank&log$=nucltop&blast_rank=32&RID=YYXFH9VA016"",""JAIREJ010000053.1"")"
Parastagonospora nodorum strain WAC13523 scaffold0052,317,317,84%,2e-90,33.38,148922,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRGS010000054.1?report=genbank&log$=nucltop&blast_rank=33&RID=YYXFH9VA016"",""JAIRGS010000054.1"")"
Parastagonospora nodorum strain 15FG28 scaffold0059,317,317,84%,2e-90,33.38,149103,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRIY010000060.1?report=genbank&log$=nucltop&blast_rank=34&RID=YYXFH9VA016"",""JAIRIY010000060.1"")"
Parastagonospora nodorum strain WAC13531 scaffold0052,317,317,84%,2e-90,33.38,149469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRGN010000052.1?report=genbank&log$=nucltop&blast_rank=35&RID=YYXFH9VA016"",""JAIRGN010000052.1"")"
Parastagonospora nodorum strain WAC13524 scaffold0054,317,317,84%,2e-90,33.38,149469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIREL010000054.1?report=genbank&log$=nucltop&blast_rank=36&RID=YYXFH9VA016"",""JAIREL010000054.1"")"
Parastagonospora nodorum strain WAC13069 scaffold0043,317,317,84%,2e-90,33.38,243236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRHE010000045.1?report=genbank&log$=nucltop&blast_rank=37&RID=YYXFH9VA016"",""JAIRHE010000045.1"")"
Parastagonospora nodorum strain WAC13532 scaffold029,317,317,84%,2e-90,33.38,475138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIREI010000029.1?report=genbank&log$=nucltop&blast_rank=38&RID=YYXFH9VA016"",""JAIREI010000029.1"")"
Parastagonospora nodorum strain WAC13526 scaffold029,317,317,84%,2e-90,33.38,475158,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRGQ010000029.1?report=genbank&log$=nucltop&blast_rank=39&RID=YYXFH9VA016"",""JAIRGQ010000029.1"")"
Parastagonospora nodorum strain WAC13528 scaffold0027,317,317,84%,2e-90,33.38,479179,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIREK010000027.1?report=genbank&log$=nucltop&blast_rank=40&RID=YYXFH9VA016"",""JAIREK010000027.1"")"
Parastagonospora nodorum strain WAC13529 scaffold0002,317,317,84%,2e-90,33.38,2456485,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRGO010000002.1?report=genbank&log$=nucltop&blast_rank=41&RID=YYXFH9VA016"",""JAIRGO010000002.1"")"
Parastagonospora nodorum strain 201FG218 scaffold0085,304,304,84%,6e-86,33.38,55860,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRIO010000087.1?report=genbank&log$=nucltop&blast_rank=42&RID=YYXFH9VA016"",""JAIRIO010000087.1"")"
Parastagonospora nodorum strain 206FG67 scaffold0069,315,315,84%,8e-90,33.24,89272,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRFB010000069.1?report=genbank&log$=nucltop&blast_rank=43&RID=YYXFH9VA016"",""JAIRFB010000069.1"")"
Parastagonospora nodorum strain 206FG66 scaffold0054,315,315,84%,2e-89,33.24,153165,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRHX010000054.1?report=genbank&log$=nucltop&blast_rank=44&RID=YYXFH9VA016"",""JAIRHX010000054.1"")"
Parastagonospora nodorum strain FG107 scaffold0049,303,303,84%,1e-85,33.24,149003,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRHV010000051.1?report=genbank&log$=nucltop&blast_rank=45&RID=YYXFH9VA016"",""JAIRHV010000051.1"")"
Parastagonospora nodorum strain WAC2216 scaffold0062,314,314,84%,2e-89,33.20,36359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIREB010000062.1?report=genbank&log$=nucltop&blast_rank=46&RID=YYXFH9VA016"",""JAIREB010000062.1"")"
Parastagonospora nodorum strain WAC13690 scaffold0079,313,313,84%,8e-89,33.20,44005,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRED010000079.1?report=genbank&log$=nucltop&blast_rank=47&RID=YYXFH9VA016"",""JAIRED010000079.1"")"
Parastagonospora nodorum strain WAC13691 scaffold0024,313,313,84%,8e-89,33.20,715228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRGI010000024.1?report=genbank&log$=nucltop&blast_rank=48&RID=YYXFH9VA016"",""JAIRGI010000024.1"")"
Parastagonospora nodorum strain 15FG99 scaffold053,312,312,84%,1e-88,33.20,113450,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRIT010000053.1?report=genbank&log$=nucltop&blast_rank=49&RID=YYXFH9VA016"",""JAIRIT010000053.1"")"
Parastagonospora nodorum strain Meck6 scaffold0078,309,309,84%,1e-87,33.15,45516,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIREU010000078.1?report=genbank&log$=nucltop&blast_rank=50&RID=YYXFH9VA016"",""JAIREU010000078.1"")"
Parastagonospora nodorum strain 15FG118 scaffold0099,311,311,84%,2e-88,33.06,13520,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRJD010000099.1?report=genbank&log$=nucltop&blast_rank=51&RID=YYXFH9VA016"",""JAIRJD010000099.1"")"
Parastagonospora nodorum strain 15FG119 scaffold0091,311,311,84%,2e-88,33.06,15117,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRJC010000091.1?report=genbank&log$=nucltop&blast_rank=52&RID=YYXFH9VA016"",""JAIRJC010000091.1"")"
Parastagonospora nodorum strain Nor_RAC2182_2 scaffold0045,310,310,84%,8e-88,33.06,191980,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRET010000045.1?report=genbank&log$=nucltop&blast_rank=53&RID=YYXFH9VA016"",""JAIRET010000045.1"")"
Parastagonospora nodorum strain FG106 scaffold056,310,310,84%,5e-88,32.96,109087,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIREY010000056.1?report=genbank&log$=nucltop&blast_rank=54&RID=YYXFH9VA016"",""JAIREY010000056.1"")"
Parastagonospora nodorum strain 203FG213 scaffold0016,309,309,84%,1e-87,32.96,745204,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRIJ010000016.1?report=genbank&log$=nucltop&blast_rank=55&RID=YYXFH9VA016"",""JAIRIJ010000016.1"")"
Parastagonospora avenae f. sp. tritici strain IR10_5.2b ctg00930,43.5,43.5,9%,0.030,32.39,4777,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWS01000930"",""QVWS01000930.1"")"
Parastagonospora avenae f. sp. tritici strain Jansen 4_55 ctg00185,43.5,43.5,9%,0.030,32.39,10692,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWU01000185"",""QVWU01000185.1"")"
Parastagonospora nodorum strain Gerald1 scaffold0060,201,201,61%,2e-51,31.85,115796,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAIRHU010000062.1?report=genbank&log$=nucltop&blast_rank=58&RID=YYXFH9VA016"",""JAIRHU010000062.1"")"
Parastagonospora avenae f. sp. tritici strain Jansen 4_55 ctg07191,55.1,55.1,42%,6e-06,22.06,1533,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWU01007191"",""QVWU01007191.1"")"



		


