Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Alternaria gaisen strain D10 Scaffold165,88.6,88.6,60%,7e-16,21.72,23008,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJAUG010000165.1?report=genbank&log$=nucltop&blast_rank=12&RID=YYX36PHY016"",""JAJAUG010000165.1"")"
Alternaria gaisen strain D8 Scaffold167,88.6,88.6,60%,7e-16,21.72,24179,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJAUK010000167.1?report=genbank&log$=nucltop&blast_rank=13&RID=YYX36PHY016"",""JAJAUK010000167.1"")"
Alternaria gaisen strain X10 Scaffold200,88.6,88.6,60%,7e-16,21.72,24432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJAUR010000200.1?report=genbank&log$=nucltop&blast_rank=14&RID=YYX36PHY016"",""JAJAUR010000200.1"")"
Alternaria gaisen strain D11 Scaffold189,88.6,88.6,60%,7e-16,21.72,24451,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJAUH010000189.1?report=genbank&log$=nucltop&blast_rank=15&RID=YYX36PHY016"",""JAJAUH010000189.1"")"
Alternaria gaisen strain X14 Scaffold195,88.2,88.2,60%,8e-16,21.72,5090,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJAUT010000195.1?report=genbank&log$=nucltop&blast_rank=16&RID=YYX36PHY016"",""JAJAUT010000195.1"")"
Alternaria gaisen strain X5 Scaffold215,88.2,88.2,60%,8e-16,21.72,5482,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJAUW010000215.1?report=genbank&log$=nucltop&blast_rank=17&RID=YYX36PHY016"",""JAJAUW010000215.1"")"
Alternaria alternata isolate AEH-2221 NODE_107_length_3861_cov_96.054968,87.8,87.8,60%,9e-16,21.48,3861,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBOBDH010000107.1?report=genbank&log$=nucltop&blast_rank=18&RID=YYX36PHY016"",""JBOBDH010000107.1"")"
Alternaria gaisen strain H16 Scaffold46,88.2,88.2,60%,1e-15,21.72,210788,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJAUN010000046.1?report=genbank&log$=nucltop&blast_rank=19&RID=YYX36PHY016"",""JAJAUN010000046.1"")"
Alternaria gaisen strain H9 Scaffold7,88.2,88.2,60%,1e-15,21.72,446248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJAUQ010000007.1?report=genbank&log$=nucltop&blast_rank=20&RID=YYX36PHY016"",""JAJAUQ010000007.1"")"
Alternaria gaisen strain H14 Scaffold19,88.2,88.2,60%,1e-15,21.72,469835,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJAUM010000019.1?report=genbank&log$=nucltop&blast_rank=21&RID=YYX36PHY016"",""JAJAUM010000019.1"")"
Alternaria gaisen strain H8 Scaffold1,88.2,88.2,60%,1e-15,21.72,830139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJAUP010000001.1?report=genbank&log$=nucltop&blast_rank=22&RID=YYX36PHY016"",""JAJAUP010000001.1"")"
Alternaria alternata strain H23 Scaffold17,87.0,87.0,69%,2e-15,23.00,390606,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJBKK010000017.1?report=genbank&log$=nucltop&blast_rank=23&RID=YYX36PHY016"",""JAJBKK010000017.1"")"
Alternaria alternata isolate AEH-3049 NODE_53_length_25338_cov_88.967381,86.7,86.7,68%,3e-15,22.41,25338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBMISD010000053.1?report=genbank&log$=nucltop&blast_rank=24&RID=YYX36PHY016"",""JBMISD010000053.1"")"
Alternaria alternata strain Y-2 ctg00225,85.5,85.5,60%,5e-15,21.48,4056,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBUZNR010000225.1?report=genbank&log$=nucltop&blast_rank=25&RID=YYX36PHY016"",""JBUZNR010000225.1"")"
Alternaria sp. M3908 ctg_76,85.5,85.5,60%,6e-15,21.48,8347,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JALZWR010000076.1?report=genbank&log$=nucltop&blast_rank=26&RID=YYX36PHY016"",""JALZWR010000076.1"")"
Alternaria sp. M3903 ctg_63,85.5,85.5,60%,6e-15,21.48,8382,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JALZWT010000063.1?report=genbank&log$=nucltop&blast_rank=27&RID=YYX36PHY016"",""JALZWT010000063.1"")"
Alternaria alternata strain BC2-RLR-17S Scaffold98,85.5,85.5,60%,6e-15,21.48,19607,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJBJM010000098.1?report=genbank&log$=nucltop&blast_rank=28&RID=YYX36PHY016"",""JAJBJM010000098.1"")"
Alternaria alternata isolate Karbala-1 Sca_42,85.1,85.1,60%,9e-15,21.48,8384,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBKAZY010000042.1?report=genbank&log$=nucltop&blast_rank=29&RID=YYX36PHY016"",""JBKAZY010000042.1"")"
Alternaria alternata strain P02PL2 NODE_5,85.1,162,81%,1e-14,27.95,1308113,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBDIFV010000005.1?report=genbank&log$=nucltop&blast_rank=30&RID=YYX36PHY016"",""JBDIFV010000005.1"")"
Alternaria gaisen strain X3 Scaffold175,84.3,84.3,68%,1e-14,22.48,9027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJAUV010000175.1?report=genbank&log$=nucltop&blast_rank=31&RID=YYX36PHY016"",""JAJAUV010000175.1"")"
Alternaria gaisen strain D8 Scaffold191,84.3,84.3,68%,1e-14,22.48,11940,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJAUK010000191.1?report=genbank&log$=nucltop&blast_rank=32&RID=YYX36PHY016"",""JAJAUK010000191.1"")"
Alternaria gaisen strain X10 Scaffold229,84.3,84.3,68%,1e-14,22.48,12143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJAUR010000229.1?report=genbank&log$=nucltop&blast_rank=33&RID=YYX36PHY016"",""JAJAUR010000229.1"")"
Alternaria gaisen strain D10 Scaffold184,84.3,84.3,68%,1e-14,22.48,13407,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJAUG010000184.1?report=genbank&log$=nucltop&blast_rank=34&RID=YYX36PHY016"",""JAJAUG010000184.1"")"
Alternaria gaisen strain D9 Scaffold204,84.3,84.3,68%,1e-14,22.48,14034,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJAUL010000204.1?report=genbank&log$=nucltop&blast_rank=35&RID=YYX36PHY016"",""JAJAUL010000204.1"")"
Alternaria gaisen strain D11 Scaffold197,84.3,84.3,68%,1e-14,22.48,20705,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJAUH010000197.1?report=genbank&log$=nucltop&blast_rank=36&RID=YYX36PHY016"",""JAJAUH010000197.1"")"
Alternaria gaisen strain D7 Scaffold157,84.3,84.3,68%,1e-14,22.48,22117,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJAUJ010000157.1?report=genbank&log$=nucltop&blast_rank=37&RID=YYX36PHY016"",""JAJAUJ010000157.1"")"
Alternaria gaisen strain X2 Scaffold133,84.3,84.3,68%,1e-14,22.48,48154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJAUU010000133.1?report=genbank&log$=nucltop&blast_rank=38&RID=YYX36PHY016"",""JAJAUU010000133.1"")"
Alternaria alternata strain PF1 contig_3,84.3,84.3,69%,1e-14,22.46,1301874,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JADGIO010000010.1?report=genbank&log$=nucltop&blast_rank=39&RID=YYX36PHY016"",""JADGIO010000010.1"")"
Alternaria alternata strain Y7 Scaffold69,84.3,84.3,69%,2e-14,22.46,181422,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJBLG010000069.1?report=genbank&log$=nucltop&blast_rank=40&RID=YYX36PHY016"",""JAJBLG010000069.1"")"
Alternaria alternata strain Y8 Scaffold38,84.3,84.3,69%,2e-14,22.46,291970,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJBLH010000038.1?report=genbank&log$=nucltop&blast_rank=41&RID=YYX36PHY016"",""JAJBLH010000038.1"")"
Alternaria alternata strain Z1 Scaffold46,83.6,83.6,68%,3e-14,22.37,230691,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJBLJ010000046.1?report=genbank&log$=nucltop&blast_rank=42&RID=YYX36PHY016"",""JAJBLJ010000046.1"")"
Alternaria alternata strain Z14 Scaffold6,83.6,83.6,68%,3e-14,22.37,1433800,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJBLO010000006.1?report=genbank&log$=nucltop&blast_rank=43&RID=YYX36PHY016"",""JAJBLO010000006.1"")"
Alternaria gaisen strain H7 Scaffold97,82.8,82.8,33%,4e-14,25.00,129623,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJAUO010000097.1?report=genbank&log$=nucltop&blast_rank=44&RID=YYX36PHY016"",""JAJAUO010000097.1"")"
Alternaria chlamydospora strain SC11 contig3,82.4,149,69%,6e-14,23.53,3654769,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBJYIS010000003.1?report=genbank&log$=nucltop&blast_rank=45&RID=YYX36PHY016"",""JBJYIS010000003.1"")"
Alternaria gaisen strain FERA 650 contig_20,80.9,80.9,62%,2e-13,21.23,350965,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PDWZ02000020"",""PDWZ02000020.1"")"
"Alternaria alternata strain CS092 genome assembly, contig: scaf_6",80.1,80.1,65%,3e-13,22.60,2527921,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CBIHID010000046.1?report=genbank&log$=nucltop&blast_rank=47&RID=YYX36PHY016"",""CBIHID010000046.1"")"
Alternaria brassicae strain LPND 260,77.8,77.8,68%,1e-12,22.39,10407,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAQQFZ010000258.1?report=genbank&log$=nucltop&blast_rank=48&RID=YYX36PHY016"",""JAQQFZ010000258.1"")"
Alternaria brassicae strain J3 chromosome 1,77.8,149,69%,2e-12,22.06,7015266,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/SMOM01000001"",""SMOM01000001.1"")"
Alternaria brassicae strain J3 chromosome 8,77.8,77.8,68%,2e-12,22.39,2305907,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/SMOM01000008"",""SMOM01000008.1"")"
Alternaria brassicae strain J3 chromosome 4,77.8,155,68%,2e-12,22.39,2988132,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/SMOM01000004"",""SMOM01000004.1"")"
Alternaria alternata strain KAS5743 NODE_52_length_22295_cov_25.578876,73.2,73.2,37%,4e-11,25.00,22295,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAERND010000053.1?report=genbank&log$=nucltop&blast_rank=52&RID=YYX36PHY016"",""JAERND010000053.1"")"
"Alternaria alternata strain RS002 genome assembly, contig: scaf_10",73.2,73.2,37%,4e-11,25.00,1883802,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CBIHHK010000002.1?report=genbank&log$=nucltop&blast_rank=53&RID=YYX36PHY016"",""CBIHHK010000002.1"")"
Alternaria angustiovoidea strain FKII-L8-BK-P2B NODE_51_length_11984_cov_10.790543,73.2,73.2,37%,5e-11,25.00,11984,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAKLNO010000051.1?report=genbank&log$=nucltop&blast_rank=54&RID=YYX36PHY016"",""JAKLNO010000051.1"")"
"Alternaria alternata strain RS052 genome assembly, contig: scaf_14",72.8,72.8,36%,5e-11,24.90,127758,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CBIHIF010000006.1?report=genbank&log$=nucltop&blast_rank=55&RID=YYX36PHY016"",""CBIHIF010000006.1"")"
Alternaria postmessia isolate AEH-0273 NODE_84_length_18885_cov_106.895683,72.8,72.8,37%,5e-11,25.00,18885,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBMISB010000084.1?report=genbank&log$=nucltop&blast_rank=56&RID=YYX36PHY016"",""JBMISB010000084.1"")"
"Alternaria alternata strain RS002 genome assembly, contig: scaf_9",72.8,72.8,37%,6e-11,25.00,2222055,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CBIHHK010000048.1?report=genbank&log$=nucltop&blast_rank=57&RID=YYX36PHY016"",""CBIHHK010000048.1"")"
Alternaria alternata isolate EC5 EC5_NODE_10_length_1143905_cov_7.954404,72.8,72.8,37%,6e-11,25.38,1143905,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JARXSA010000010.1?report=genbank&log$=nucltop&blast_rank=58&RID=YYX36PHY016"",""JARXSA010000010.1"")"
Alternaria alternata strain KAS5516 NODE_45_length_35425_cov_27.494905,72.0,72.0,36%,8e-11,24.90,35425,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAAOQT010000045.1?report=genbank&log$=nucltop&blast_rank=59&RID=YYX36PHY016"",""JAAOQT010000045.1"")"
"Alternaria burnsii genome assembly, contig: NODE_4_length_1742834_cov_42.374357",72.0,72.0,37%,1e-10,25.00,1742834,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CATNWF010000390.1?report=genbank&log$=nucltop&blast_rank=60&RID=YYX36PHY016"",""CATNWF010000390.1"")"
Alternaria gaisen strain X13 Scaffold190,71.6,71.6,37%,1e-10,25.00,7149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJAUS010000190.1?report=genbank&log$=nucltop&blast_rank=61&RID=YYX36PHY016"",""JAJAUS010000190.1"")"
Alternaria alternata isolate AEH-2221 NODE_21_length_464584_cov_84.191582,71.6,71.6,37%,1e-10,25.00,464584,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBOBDH010000021.1?report=genbank&log$=nucltop&blast_rank=62&RID=YYX36PHY016"",""JBOBDH010000021.1"")"
Alternaria alternata isolate AEH-3014 NODE_110_length_10944_cov_45.472347,71.2,71.2,35%,1e-10,25.62,10944,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBMISC010000110.1?report=genbank&log$=nucltop&blast_rank=63&RID=YYX36PHY016"",""JBMISC010000110.1"")"
Alternaria alternata strain SRC1lrK2f CC77scaffold_53_Cont64,71.2,71.2,35%,1e-10,25.62,7227,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/LXPP01000064"",""LXPP01000064.1"")"
Alternaria alternata strain Altal1 scaffold_53,71.2,71.2,35%,1e-10,25.62,13246,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJMVD010000053.1?report=genbank&log$=nucltop&blast_rank=65&RID=YYX36PHY016"",""JAJMVD010000053.1"")"
Alternaria tenuissima strain ANJ NODE_30_length_251319_cov_13.283893,71.2,71.2,37%,2e-10,25.00,251319,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAFLEM010000030.1?report=genbank&log$=nucltop&blast_rank=66&RID=YYX36PHY016"",""JAFLEM010000030.1"")"
Alternaria alternata strain Y2 Scaffold126,71.2,71.2,35%,2e-10,25.62,30672,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJBLD010000126.1?report=genbank&log$=nucltop&blast_rank=67&RID=YYX36PHY016"",""JAJBLD010000126.1"")"
Alternaria alternata isolate AEH-2221 NODE_58_length_25192_cov_85.106152,71.2,71.2,35%,2e-10,26.03,25192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBOBDH010000058.1?report=genbank&log$=nucltop&blast_rank=68&RID=YYX36PHY016"",""JBOBDH010000058.1"")"
"Alternaria alternata strain CS013 genome assembly, contig: scaf_31",70.9,70.9,37%,2e-10,24.62,429768,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CBIHHV010000064.1?report=genbank&log$=nucltop&blast_rank=69&RID=YYX36PHY016"",""CBIHHV010000064.1"")"
"Alternaria alternata strain RS102 genome assembly, contig: scaf_11",70.9,70.9,37%,2e-10,24.62,714623,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CBIHIE010000003.1?report=genbank&log$=nucltop&blast_rank=70&RID=YYX36PHY016"",""CBIHIE010000003.1"")"
"Alternaria alternata strain RS052 genome assembly, contig: scaf_9",70.9,70.9,37%,2e-10,24.62,2254555,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CBIHIF010000039.1?report=genbank&log$=nucltop&blast_rank=71&RID=YYX36PHY016"",""CBIHIF010000039.1"")"
Alternaria brassicae strain LPND 521,69.3,69.3,32%,3e-10,25.97,1349,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAQQFZ010000509.1?report=genbank&log$=nucltop&blast_rank=72&RID=YYX36PHY016"",""JAQQFZ010000509.1"")"
"Alternaria burnsii genome assembly, contig: NODE_36_length_342272_cov_43.627598",70.1,70.1,37%,4e-10,24.62,342272,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CATNWF010000299.1?report=genbank&log$=nucltop&blast_rank=73&RID=YYX36PHY016"",""CATNWF010000299.1"")"
"Alternaria alternata strain RS102 genome assembly, contig: scaf_4",69.7,69.7,35%,6e-10,25.21,3124575,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CBIHIE010000026.1?report=genbank&log$=nucltop&blast_rank=74&RID=YYX36PHY016"",""CBIHIE010000026.1"")"
Alternaria alternata strain B3 NODE_17_length_752785_cov_13.889069,69.3,69.3,37%,6e-10,25.00,752785,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JACBJF010000017.1?report=genbank&log$=nucltop&blast_rank=75&RID=YYX36PHY016"",""JACBJF010000017.1"")"
Alternaria brassicae strain J3 chromosome 6,69.3,138,32%,7e-10,25.97,2509472,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/SMOM01000006"",""SMOM01000006.1"")"
Alternaria alternata strain P02PL2 NODE_183,68.2,68.2,50%,1e-09,24.85,5786,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JBDIFV010000182.1?report=genbank&log$=nucltop&blast_rank=77&RID=YYX36PHY016"",""JBDIFV010000182.1"")"
Alternaria alternata strain KAS5743 NODE_1_length_2694024_cov_22.012970,67.8,67.8,33%,2e-09,25.11,2694222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAERND010000001.1?report=genbank&log$=nucltop&blast_rank=78&RID=YYX36PHY016"",""JAERND010000001.1"")"
Alternaria gaisen strain D5 Scaffold176,67.4,67.4,37%,2e-09,24.23,54368,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJAUI010000176.1?report=genbank&log$=nucltop&blast_rank=79&RID=YYX36PHY016"",""JAJAUI010000176.1"")"
"Alternaria alternata strain CS314 genome assembly, contig: scaf_16",65.9,65.9,35%,7e-09,24.79,74731,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CBIHHE010000008.1?report=genbank&log$=nucltop&blast_rank=80&RID=YYX36PHY016"",""CBIHHE010000008.1"")"
"Alternaria alternata strain CS313 genome assembly, contig: scaf_11",65.5,65.5,35%,9e-09,24.79,253746,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CBIHHJ010000003.1?report=genbank&log$=nucltop&blast_rank=81&RID=YYX36PHY016"",""CBIHHJ010000003.1"")"
Alternaria arborescens strain DET2008 NODE_51_length_162134_cov_33.760027,64.7,64.7,35%,2e-08,24.38,162134,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAAOQW010000051.1?report=genbank&log$=nucltop&blast_rank=82&RID=YYX36PHY016"",""JAAOQW010000051.1"")"
Alternaria sp. DET2103 NODE_30_length_108605_cov_37.663407,63.9,63.9,32%,3e-08,27.11,108605,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAEROZ010000030.1?report=genbank&log$=nucltop&blast_rank=83&RID=YYX36PHY016"",""JAEROZ010000030.1"")"
Alternaria sp. DET2105 NODE_10_length_1533002_cov_20.891848,63.9,63.9,32%,3e-08,27.11,1533002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAEROX010000010.1?report=genbank&log$=nucltop&blast_rank=84&RID=YYX36PHY016"",""JAEROX010000010.1"")"
Alternaria sp. DET2106 NODE_5_length_2474050_cov_21.520867,63.9,63.9,32%,3e-08,27.11,2474050,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAEROW010000005.1?report=genbank&log$=nucltop&blast_rank=85&RID=YYX36PHY016"",""JAEROW010000005.1"")"
Alternaria alternata strain C25 Scaffold213,62.4,62.4,36%,7e-08,24.90,3155,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJBJU010000213.1?report=genbank&log$=nucltop&blast_rank=86&RID=YYX36PHY016"",""JAJBJU010000213.1"")"
Alternaria alternata isolate EC724 EC724_NODE_38_length_33054_cov_10.553750,62.8,62.8,33%,8e-08,23.83,33054,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JARXRU010000038.1?report=genbank&log$=nucltop&blast_rank=87&RID=YYX36PHY016"",""JARXRU010000038.1"")"
Alternaria alternata strain Z13 Scaffold138,62.4,62.4,36%,8e-08,24.90,5783,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJBLN010000138.1?report=genbank&log$=nucltop&blast_rank=88&RID=YYX36PHY016"",""JAJBLN010000138.1"")"
Alternaria alternata strain X8 Scaffold107,62.4,62.4,36%,8e-08,24.90,7814,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJBKT010000107.1?report=genbank&log$=nucltop&blast_rank=89&RID=YYX36PHY016"",""JAJBKT010000107.1"")"
Alternaria alternata strain X7 Scaffold170,62.4,62.4,36%,8e-08,24.90,7814,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJBKS010000170.1?report=genbank&log$=nucltop&blast_rank=90&RID=YYX36PHY016"",""JAJBKS010000170.1"")"
Alternaria alternata strain X9 Scaffold121,62.4,62.4,36%,8e-08,24.90,14967,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJBKU010000121.1?report=genbank&log$=nucltop&blast_rank=91&RID=YYX36PHY016"",""JAJBKU010000121.1"")"
Alternaria alternata strain X15 Scaffold98,62.4,62.4,36%,8e-08,24.90,14975,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJBKP010000098.1?report=genbank&log$=nucltop&blast_rank=92&RID=YYX36PHY016"",""JAJBKP010000098.1"")"
Alternaria alternata strain X12 Scaffold140,62.4,62.4,36%,8e-08,24.90,14975,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJBKO010000140.1?report=genbank&log$=nucltop&blast_rank=93&RID=YYX36PHY016"",""JAJBKO010000140.1"")"
Alternaria alternata strain X1 Scaffold134,62.4,62.4,36%,8e-08,24.90,15290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJBKM010000134.1?report=genbank&log$=nucltop&blast_rank=94&RID=YYX36PHY016"",""JAJBKM010000134.1"")"
Alternaria alternata strain X16 Scaffold86,62.4,62.4,36%,8e-08,24.90,17934,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJBKQ010000086.1?report=genbank&log$=nucltop&blast_rank=95&RID=YYX36PHY016"",""JAJBKQ010000086.1"")"
Alternaria alternata strain D4 Scaffold155,62.4,62.4,36%,8e-08,24.90,24141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJBJZ010000155.1?report=genbank&log$=nucltop&blast_rank=96&RID=YYX36PHY016"",""JAJBJZ010000155.1"")"
